title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
The Spanish Love Deception,https://www.bookdepository.com/Spanish-Love-Deception-Elena-Armas/9781398515628,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398515628.jpg,Paperback,2021,15.74,Elena Armas,5,Simon & Schuster Ltd,480,9781398515628,"London, United Kingdom",Fiction Books,9
It Ends With Us: The most heartbreaking novel you'll ever read,https://www.bookdepository.com/It-Ends-With-Us-most-heartbreaking-novel-youll-ever-read-Colleen-Hoover/9781471156267,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471156267.jpg,Paperback,2016,16.77,Colleen Hoover,4.42,Simon & Schuster Ltd,384,9781471156267,"London, United Kingdom",Contemporary Fiction,45
Immune,https://www.bookdepository.com/Immune-Philipp-Dettmer/9781529360684,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529360684.jpg,Hardback,2021,50.66,Philipp Dettmer,4.58,HODDER & STOUGHTON,368,9781529360684,"London, United Kingdom",Medical,6
The Midnight Library,https://www.bookdepository.com/Midnight-Library-Matt-Haig/9781786892737,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7868/9781786892737.jpg,Paperback,2021,15.0,Matt Haig,4.09,Canongate Books Ltd,304,9781786892737,"Edinburgh, United Kingdom",Contemporary Fiction,12
Ugly Love,https://www.bookdepository.com/Ugly-Love-Colleen-Hoover/9781471136726,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471136726.jpg,Paperback,2016,19.28,Colleen Hoover,4.26,Simon & Schuster Ltd,352,9781471136726,"London, United Kingdom",Contemporary Fiction,38
The Love Hypothesis,https://www.bookdepository.com/Love-Hypothesis-Ali-Hazelwood/9780593336823,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5933/9780593336823.jpg,Paperback,2021,21.99,Ali Hazelwood,4.47,Penguin Putnam Inc,336,9780593336823,"New York, United States",Romance,21
The Promise,https://www.bookdepository.com/Promise-Damon-Galgut/9781784744069,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784744069.jpg,Hardback,2021,16.99,Damon Galgut,4.09,Vintage Publishing,304,9781784744069,"London, United Kingdom",Contemporary Fiction,44
Death to Jar Sauce,https://www.bookdepository.com/Death-Jar-Sauce-Nats-What-I-Reckon/9781761045820,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7610/9781761045820.jpg,Paperback,2021,28.9,Nat's What I Reckon,4.28,PENGUIN AUSTRALIA,336,9781761045820,"Ferntree Gully, VIC, Australia","Graphic Novels, Anime & Manga",2
"Jujutsu Kaisen, Vol. 9",https://www.bookdepository.com/Jujutsu-Kaisen-Vol-9-Gege-Akutami/9781974718726,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974718726.jpg,Paperback,2021,14.43,Gege Akutami,4.65,"Viz Media, Subs. of Shogakukan Inc",192,9781974718726,"San Francisco, United States",Graphic Novels: Manga,27
Dune,https://www.bookdepository.com/Dune-Frank-Herbert/9780441172719,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4411/9780441172719.jpg,Paperback,2011,19.8,Frank Herbert,4.24,Penguin Putnam Inc,896,9780441172719,"New York, United States",Classic Books & Novels,5
The Dawn of Everything,https://www.bookdepository.com/Dawn-Everything-David-Graeber/9780374157357,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3741/9780374157357.jpg,Hardback,2021,42.25,David Graeber,4.43,"Farrar, Straus and Giroux",704,9780374157357,"New York, United States",Classical History / Classical Civilisation,49
Seven Husbands of Evelyn Hugo,https://www.bookdepository.com/Seven-Husbands-Evelyn-Hugo-Taylor-Jenkins-Reid/9781398515697,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398515697.jpg,Paperback,2021,16.91,Taylor Jenkins Reid,4.31,Simon & Schuster Ltd,400,9781398515697,"London, United Kingdom",Contemporary Fiction,11
Ur Special,https://www.bookdepository.com/Ur-Special-Danny-Casale/9780593330104,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5933/9780593330104.jpg,Paperback,2021,24.65,Danny Casale,5,Penguin Putnam Inc,192,9780593330104,United States,"Assertiveness, Motivation & Self-esteem",10
The Christmas Pig,https://www.bookdepository.com/Christmas-Pig-J-K-Rowling/9781444964912,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4449/9781444964912.jpg,Hardback,2021,34.39,J. K. Rowling,4.2,Hachette Children's Group,320,9781444964912,"London, United Kingdom",Children's Fiction,42
Heaven Official's Blessing,https://www.bookdepository.com/Heaven-Officials-Blessing-Mo-Xiang-Tong-Xiu/9781648279171,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279171.jpg,Paperback,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",544,9781648279171,"West Hollywood, United States",Contemporary Fiction,32
